Player,Number seasons,Games played,At bats,Runs,Hits,Doubles,Triples,Home runs,RBIs,Walks,Strikeouts,Batting average,On base pct,Slugging pct,Fielding ave,Position,Hall of Fame
AL COWENS,13,1584,5534,704,1494,276,68,108,717,389,659,0.27,0.322,0.403,0.985,Outfield,0
BILLY COX,11,1058,3712,470,974,174,32,66,351,298,218,0.262,0.318,0.38,0.965,Third base,0
DOC CRAMER,20,2239,9140,1357,2705,396,109,37,842,572,345,0.296,0.34,0.375,0.979,Outfield,0
DEL CRANDALL,16,1573,5026,585,1276,179,18,179,657,424,477,0.254,0.315,0.404,0.989,Catcher,0
GAVVY CRAVATH,11,1220,3951,575,1134,232,83,119,719,561,514,0.287,0.38,0.478,0.944,Outfield,0
SAM CRAWFORD,19,2517,9570,1391,2961,458,309,97,1525,760,104,0.309,0.362,0.452,0.965,Outfield,2
WILLIE CRAWFORD,14,1210,3435,507,921,152,35,86,419,431,664,0.268,0.351,0.408,0.975,Outfield,0
LOU CRIGER,16,1012,3202,337,709,86,50,11,342,309,0,0.221,0.294,0.29,0.971,Catcher,0
HUGHIE CRITZ,12,1478,5930,832,1591,195,95,38,531,289,257,0.268,0.303,0.352,0.974,Second base,0
WARREN CROMARTIE,10,1107,3927,459,1104,229,32,61,391,325,403,0.281,0.339,0.402,0.977,Outfield,0
JOE CRONIN,20,2124,7579,1233,2285,515,118,170,1424,1059,700,0.301,0.39,0.468,0.951,Shortstop,1
FRANKIE CROSETTI,17,1683,6277,1006,1541,260,65,98,649,792,799,0.245,0.341,0.354,0.949,Shortstop,0
LAVE CROSS,21,2275,9072,1333,2645,411,135,47,1345,464,90,0.292,0.328,0.382,0.938,Third base,0
MONTE CROSS,15,1682,5821,718,1364,232,68,31,621,616,100,0.234,0.316,0.314,0.92,Shortstop,0
TERRY CROWLEY,15,865,1518,174,379,62,1,42,229,222,181,0.25,0.348,0.375,0.98,Designated hitter,0
WALTON CRUISE,10,736,2321,293,644,83,39,30,272,238,250,0.277,0.348,0.386,0.962,Outfield,0
JOSE CRUZ,19,2353,7917,1036,2251,391,94,165,1077,898,1031,0.284,0.358,0.42,0.974,Outfield,0
JULIO CRUZ,10,1156,3859,557,916,113,27,23,279,478,508,0.237,0.324,0.299,0.983,Second base,0
TONY CUCCINELLO,15,1704,6184,730,1729,334,46,94,884,579,497,0.28,0.343,0.394,0.973,Second base,0
ROY CULLENBINE,10,1181,3879,627,1072,209,32,110,599,853,399,0.276,0.408,0.432,0.969,Outfield,0
JOE CUNNINGHAM,12,1141,3362,525,980,177,26,64,436,599,369,0.291,0.406,0.417,0.993,First base,0
GEORGE CUTSHAW,12,1516,5621,629,1487,195,89,25,653,300,242,0.265,0.305,0.344,0.965,Second base,0
KIKI CUYLER,18,1879,7161,1295,2299,394,157,128,1065,676,752,0.321,0.386,0.474,0.972,Outfield,2
BILL DAHLEN,21,2443,9031,1589,2457,413,163,84,1233,1064,269,0.272,0.357,0.382,0.927,Shortstop,0
BABE DAHLGREN,12,1137,4045,470,1056,174,37,82,569,390,401,0.261,0.329,0.383,0.99,First base,0
CON DAILY,13,630,2222,280,541,74,22,2,262,208,208,0.243,0.314,0.299,0.912,Catcher,0
ABNER DALRYMPLE,12,951,4172,813,1202,217,81,43,407,204,359,0.288,0.323,0.41,0.863,Outfield,0
CLAY DALRYMPLE,12,1079,3042,243,710,98,23,55,327,387,403,0.233,0.324,0.335,0.987,Catcher,0
TOM DALY,16,1564,5684,1024,1582,262,103,49,811,687,401,0.278,0.362,0.387,0.931,Second base,0
HARRY DANNING,10,890,2971,363,847,162,26,57,397,187,217,0.285,0.33,0.415,0.985,Catcher,0
ALVIN DARK,14,1828,7219,1064,2089,358,72,126,757,430,534,0.289,0.334,0.411,0.96,Shortstop,0
JAKE DAUBERT,15,2014,7673,1117,2326,250,165,56,722,623,489,0.303,0.36,0.401,0.991,First base,0
RICH DAUER,10,1140,3829,448,984,193,3,43,372,297,219,0.257,0.313,0.343,0.987,Second base,0
VIC DAVALILLO,16,1458,4017,509,1122,160,37,36,329,212,422,0.279,0.317,0.364,0.986,Outfield,0
JIM DAVENPORT,13,1501,4427,552,1142,177,37,77,456,382,673,0.258,0.32,0.367,0.964,Third base,0
GEORGE DAVIS,20,2368,9031,1539,2660,451,163,73,1437,870,180,0.295,0.361,0.405,0.94,Shortstop,2
HARRY DAVIS,22,1755,6653,1001,1841,363,145,75,951,525,45,0.277,0.335,0.409,0.98,First base,0
TOMMY DAVIS,18,1999,7223,811,2121,272,35,153,1052,381,754,0.294,0.332,0.405,0.97,Outfield,0
JODY DAVIS,10,1082,3585,364,877,164,11,127,490,333,712,0.245,0.31,0.403,0.987,Catcher,0
MIKE DAVIS,10,963,2999,419,778,161,16,91,371,236,537,0.259,0.316,0.415,0.968,Outfield,0
SPUD DAVIS,16,1458,4255,388,1312,244,22,77,647,386,326,0.308,0.369,0.43,0.984,Catcher,0
WILLIE DAVIS,18,2429,9174,1217,2561,395,138,182,1053,418,977,0.279,0.314,0.412,0.978,Outfield,0
CHARLIE DEAL,10,851,2930,295,752,104,34,11,318,135,121,0.257,0.293,0.327,0.958,Third base,0
HANK DeBERRY,11,648,1850,170,494,81,16,11,234,148,119,0.267,0.323,0.346,0.982,Catcher,0
DOUG DeCINCES,15,1649,5809,778,1505,312,29,237,879,618,904,0.259,0.333,0.445,0.958,Third base,0
IVAN DeJESUS,15,1371,4602,595,1167,175,48,21,324,466,664,0.254,0.324,0.326,0.963,Shortstop,0
ED DELAHANTY,16,1835,7505,1599,2597,522,185,101,1464,741,244,0.346,0.412,0.505,0.951,Outfield,2
JIM DELAHANTY,13,1186,4091,520,1159,191,59,19,489,378,24,0.283,0.356,0.373,0.946,Second base,0
JIM DELSING,10,822,2461,322,627,112,21,40,286,299,251,0.255,0.34,0.366,0.989,Outfield,0
JOE DeMAESTRI,11,1121,3441,322,813,114,23,49,281,168,511,0.236,0.275,0.325,0.967,Shortstop,0
FRANK DEMAREE,12,1155,4144,578,1241,190,36,72,591,359,269,0.299,0.357,0.415,0.978,Outfield,0
DON DEMETER,11,1109,3443,467,912,147,17,163,563,180,658,0.265,0.309,0.459,0.99,Outfield,0
GENE DeMONTREVILLE,11,922,3615,537,1096,130,35,17,497,174,35,0.303,0.34,0.373,0.948,Second base,0
RICK DEMPSEY,24,1766,4692,525,1093,223,12,96,471,592,736,0.233,0.321,0.347,0.988,Catcher,0
JERRY DENNY,13,1237,4946,714,1286,238,76,74,667,173,602,0.26,0.287,0.384,0.882,Third base,0
BUCKY DENT,12,1392,4512,451,1114,169,23,40,423,328,349,0.247,0.3,0.321,0.976,Shortstop,0
BOB DERNIER,10,904,2483,374,634,92,16,23,152,222,301,0.255,0.318,0.333,0.982,Outfield,0
GENE DESAUTELS,13,712,2012,211,469,73,11,3,187,232,168,0.233,0.315,0.285,0.989,Catcher,0
ART DEVLIN,10,1313,4412,603,1185,164,57,10,505,576,105,0.269,0.363,0.338,0.938,Third base,0
BO DIAZ,13,993,3274,327,834,162,5,87,452,198,429,0.255,0.3,0.387,0.986,Catcher,0
BILL DICKEY,17,1789,6300,930,1969,343,72,202,1209,678,289,0.313,0.382,0.486,0.988,Catcher,1
MIGUEL DILONE,12,800,2000,314,530,67,25,6,129,142,197,0.265,0.316,0.333,0.975,Outfield,0
DOM DiMAGGIO,11,1399,5640,1046,1680,308,57,87,618,750,571,0.298,0.383,0.419,0.978,Outfield,0
JOE DiMAGGIO,13,1736,6821,1390,2214,389,131,361,1537,790,369,0.325,0.398,0.579,0.978,Outfield,1
VINCE DiMAGGIO,10,1110,3849,491,959,209,24,125,584,412,837,0.249,0.324,0.413,0.981,Outfield,0
LARRY DOBY,13,1533,5348,960,1515,243,52,253,970,871,1011,0.283,0.387,0.49,0.983,Outfield,2
BOBBY DOERR,14,1865,7093,1094,2042,381,89,223,1247,809,608,0.288,0.362,0.461,0.98,Second base,2
COZY DOLAN,10,835,3187,429,858,99,37,10,316,229,13,0.269,0.322,0.333,0.931,Outfield,0
MIKE DONLIN,12,1049,3854,669,1282,176,97,51,543,312,39,0.333,0.385,0.468,0.924,Outfield,0
JIM DONNELLY,11,660,2411,324,552,57,28,2,234,170,144,0.229,0.284,0.278,0.862,Third base,0
PATSY DONOVAN,17,1821,7496,1318,2253,207,75,16,736,453,131,0.301,0.347,0.355,0.941,Outfield,0
RED DOOIN,15,1290,4004,333,961,139,31,10,344,155,87,0.24,0.271,0.298,0.957,Catcher,0
MICKEY DOOLAN,13,1728,5977,513,1376,244,81,15,554,370,376,0.23,0.279,0.306,0.94,Shortstop,0
MIKE DORGAN,10,715,2924,443,802,112,34,4,328,118,179,0.274,0.303,0.34,0.867,Outfield,0
PATSY DOUGHERTY,10,1233,4558,678,1294,138,78,17,413,378,.,0.284,0.346,0.36,0.935,Outfield,0
TAYLOR DOUTHIT,11,1074,4127,665,1201,220,38,29,396,443,312,0.291,0.364,0.384,0.972,Outfield,0
TOMMY DOWD,10,1320,5511,903,1492,163,88,24,501,369,200,0.271,0.319,0.345,0.933,Outfield,0
BRIAN DOWNING,20,2344,7853,1188,2099,360,28,275,1073,1197,1127,0.267,0.373,0.425,0.995,Designated hitter,0
JACK DOYLE,17,1564,6039,971,1806,315,64,26,924,437,132,0.299,0.351,0.385,0.975,First base,0
LARRY DOYLE,14,1766,6509,960,1887,299,123,74,793,625,274,0.29,0.357,0.408,0.949,Second base,0
DAN DRIESSEN,15,1732,5479,746,1464,282,23,153,763,761,719,0.267,0.359,0.411,0.995,First base,0
WALT DROPO,13,1288,4124,478,1113,168,22,152,704,328,582,0.27,0.327,0.432,0.992,First base,0
FRANK DUFFY,10,915,2665,248,619,104,14,26,240,171,342,0.232,0.281,0.311,0.977,Shortstop,0
HUGH DUFFY,17,1737,7042,1552,2282,325,119,106,1302,662,211,0.324,0.384,0.449,0.943,Outfield,2
JOE DUGAN,14,1447,5410,665,1516,277,46,42,571,250,418,0.28,0.317,0.372,0.957,Third base,0
DAVE DUNCAN,11,929,2885,274,617,79,4,109,341,252,677,0.214,0.28,0.357,0.984,Catcher,0
FRED DUNLAP,12,965,3974,759,1159,224,53,41,366,283,263,0.292,0.34,0.406,0.924,Second base,0
LEON DURHAM,10,1067,3587,522,992,192,40,147,530,444,679,0.277,0.358,0.475,0.994,First base,0
LEO DUROCHER,17,1637,5350,575,1320,210,56,24,567,377,480,0.247,0.299,0.32,0.961,Shortstop,0
JIM DWYER,18,1328,2761,409,719,115,17,77,349,402,402,0.26,0.357,0.398,0.979,Outfield,0
DUFFY DYER,14,722,1993,151,441,74,11,30,173,228,415,0.221,0.307,0.315,0.992,Catcher,0
JIMMY DYKES,22,2282,8046,1108,2256,453,90,108,1071,958,849,0.28,0.365,0.399,0.952,Third base,0
MIKE EASLER,14,1151,3677,465,1078,189,25,118,522,321,696,0.293,0.353,0.454,0.974,Outfield,0
BRUCE EDWARDS,10,591,1675,191,429,67,20,39,241,190,179,0.256,0.335,0.39,0.982,Catcher,0
HANK EDWARDS,11,735,2191,285,613,116,41,51,276,208,264,0.28,0.343,0.44,0.981,Outfield,0
JOHNNY EDWARDS,14,1470,4577,430,1106,202,32,81,524,465,635,0.242,0.314,0.353,0.992,Catcher,0
TOM EGAN,10,373,979,74,196,25,3,22,91,80,336,0.2,0.267,0.299,0.987,Catcher,0
KID ELBERFELD,14,1292,4561,647,1235,169,56,10,535,427,4,0.271,0.352,0.339,0.92,Shortstop,0
BOB ELLIOTT,15,1978,7141,1064,2061,382,94,170,1195,967,604,0.289,0.375,0.44,0.947,Third base,0
JOHN ELLIS,13,883,2672,259,699,116,13,69,391,190,403,0.262,0.315,0.392,0.989,First base,0
BONES ELY,14,1341,5159,655,1331,149,68,24,586,257,108,0.258,0.295,0.327,0.923,Shortstop,0
WOODY ENGLISH,12,1261,4746,801,1356,236,52,32,422,571,536,0.286,0.366,0.378,0.957,Shortstop,0
DEL ENNIS,14,1903,7254,985,2063,358,69,288,1284,597,719,0.284,0.341,0.472,0.969,Outfield,0
SAMMY ESPOSITO,10,560,792,130,164,27,2,8,73,145,127,0.207,0.333,0.277,0.957,Third base,0
JIM ESSIAN,12,710,1855,194,453,85,3,33,207,231,171,0.244,0.33,0.347,0.984,Catcher,0
DUDE ESTERBROOK,11,701,2837,387,741,120,34,6,203,70,129,0.261,0.284,0.334,0.884,Third base,0
ANDY ETCHEBARREN,15,948,2618,245,615,101,17,49,309,246,529,0.235,0.308,0.343,0.987,Catcher,0
AL EVANS,12,704,2053,188,514,70,23,13,211,243,206,0.25,0.332,0.326,0.979,Catcher,0
DARRELL EVANS,21,2687,8973,1344,2223,329,36,414,1354,1605,1410,0.248,0.364,0.431,0.946,Third base,0
DWIGHT EVANS,20,2606,8996,1470,2446,483,73,385,1384,1391,1697,0.272,0.373,0.47,0.987,Outfield,0
JOE EVANS,11,733,2043,306,529,71,31,3,210,212,152,0.259,0.329,0.328,0.971,Outfield,0
JOHNNY EVERS,18,1784,6137,919,1659,216,70,12,538,778,142,0.27,0.356,0.334,0.955,Second base,2
HOOT EVERS,12,1142,3801,556,1055,187,41,98,565,415,420,0.278,0.353,0.426,0.983,Outfield,0
BUCK EWING,18,1315,5363,1129,1625,250,178,71,883,392,294,0.303,0.351,0.456,0.931,Catcher,2
BILL FAHEY,11,383,934,75,225,26,2,7,83,74,93,0.241,0.298,0.296,0.989,Catcher,0
RON FAIRLY,21,2442,7184,931,1913,307,33,215,1044,1052,877,0.266,0.363,0.408,0.991,First base,0
BIBB FALK,12,1353,4652,655,1463,300,59,69,784,412,279,0.314,0.372,0.449,0.967,Outfield,0
DUKE FARRELL,18,1563,5679,826,1563,211,123,51,912,477,246,0.275,0.337,0.383,0.938,Catcher,0
JACK FARRELL,11,884,3613,584,877,148,55,23,370,197,205,0.243,0.283,0.333,0.899,Second base,0
JOE FERGUSON,14,1013,3001,407,719,121,11,122,445,562,607,0.24,0.361,0.409,0.987,Catcher,0
RICK FERRELL,18,1884,6028,687,1692,324,45,28,734,931,277,0.281,0.378,0.363,0.984,Catcher,2
CHICK FEWSTER,11,644,1963,282,506,91,12,6,167,240,264,0.258,0.346,0.326,0.945,Second base,0
LOU FINNEY,15,1270,4631,643,1329,203,85,31,494,329,186,0.287,0.336,0.388,0.961,Outfield,0
MIKE FISCHLIN,10,517,941,109,207,29,6,3,68,92,142,0.22,0.293,0.273,0.959,Shortstop,0
ED FITZGERALD,12,807,2086,199,542,82,10,19,217,185,235,0.26,0.324,0.336,0.975,Catcher,0
MIKE FITZGERALD,10,848,2316,220,545,95,9,48,293,292,432,0.235,0.323,0.346,0.99,Catcher,0
MAX FLACK,12,1411,5252,783,1461,212,72,35,391,474,253,0.278,0.342,0.366,0.972,Outfield,0
IRA FLAGSTEAD,13,1218,4139,644,1202,262,50,40,450,467,288,0.29,0.37,0.407,0.974,Outfield,0
TIM FLANNERY,11,972,2473,255,631,77,25,9,209,277,293,0.255,0.338,0.317,0.982,Second base,0
ART FLETCHER,13,1533,5541,684,1534,238,77,32,675,203,348,0.277,0.319,0.365,0.939,Shortstop,0
ELBIE FLETCHER,12,1415,4879,723,1323,228,58,79,616,851,495,0.271,0.384,0.39,0.993,First base,0
ELMER FLICK,13,1483,5597,948,1752,268,164,48,756,597,.,0.313,0.389,0.445,0.947,Outfield,2
SILVER FLINT,12,743,2852,376,682,129,34,21,294,53,461,0.239,0.253,0.33,0.913,Catcher,0
CURT FLOOD,15,1759,6357,851,1861,271,44,85,636,444,609,0.293,0.344,0.389,0.987,Outfield,0
JAKE FLOWERS,10,583,1693,229,433,75,18,16,201,190,139,0.256,0.333,0.35,0.967,Second base,0
DOUG FLYNN,11,1308,3853,288,918,115,39,7,284,151,320,0.238,0.267,0.294,0.986,Second base,0
HANK FOILES,11,608,1455,171,353,59,10,46,166,170,295,0.243,0.323,0.392,0.986,Catcher,0
TIM FOLI,16,1696,6047,576,1515,241,20,25,501,265,399,0.251,0.286,0.309,0.973,Shortstop,0
LEW FONSECA,12,937,3404,518,1075,203,50,31,485,186,199,0.316,0.355,0.432,0.994,First base,0
BARRY FOOTE,10,687,2127,191,489,103,10,57,230,136,287,0.23,0.279,0.368,0.985,Catcher,0
DAVY FORCE,10,768,2950,323,623,80,15,1,209,131,261,0.211,0.245,0.249,0.908,Shortstop,0
DAN FORD,11,1153,4163,598,1123,214,38,121,566,303,722,0.27,0.326,0.427,0.974,Outfield,0
HOD FORD,15,1446,4833,484,1269,200,55,16,494,351,354,0.263,0.316,0.337,0.96,Shortstop,0
RAY FOSSE,12,924,2957,299,758,117,13,61,324,203,363,0.256,0.308,0.367,0.985,Catcher,0
EDDIE FOSTER,13,1500,5652,732,1490,191,71,6,451,528,255,0.264,0.329,0.326,0.93,Third base,0
GEORGE FOSTER,18,1977,7023,986,1925,307,47,348,1239,666,1419,0.274,0.341,0.48,0.984,Outfield,0
BOB FOTHERGILL,12,1106,3269,453,1064,225,52,36,582,202,177,0.325,0.368,0.459,0.961,Outfield,0
JACK FOURNIER,15,1530,5208,822,1631,252,113,136,859,587,408,0.313,0.392,0.483,0.984,First base,0
DAVE FOUTZ,13,1135,4533,784,1253,186,91,31,548,300,136,0.276,0.323,0.378,0.977,First base,0
PETE FOX,13,1461,5636,895,1678,314,75,65,694,392,471,0.298,0.347,0.415,0.977,Outfield,0
NELLIE FOX,19,2367,9232,1279,2663,355,112,35,790,719,216,0.288,0.349,0.363,0.984,Second base,2
JIMMIE FOXX,20,2317,8134,1751,2646,458,125,534,1922,1452,1311,0.325,0.428,0.609,0.992,First base,1
TITO FRANCONA,15,1719,5121,650,1395,224,34,125,656,544,694,0.272,0.346,0.403,0.984,Outfield,0
TERRY FRANCONA,10,708,1731,163,474,74,6,16,143,65,119,0.274,0.302,0.351,0.992,First base,0
BILL FREEHAN,15,1774,6073,706,1591,241,35,200,758,626,753,0.262,0.342,0.412,0.993,Catcher,0
BUCK FREEMAN,11,1126,4208,588,1235,199,131,82,713,272,2,0.293,0.346,0.462,0.95,Outfield,0
GENE FREESE,12,1115,3446,429,877,161,28,115,432,243,535,0.254,0.307,0.418,0.934,Third base,0
JIM FREGOSI,18,1902,6523,844,1726,264,78,151,706,715,1097,0.265,0.34,0.398,0.963,Shortstop,0
LONNY FREY,14,1535,5517,848,1482,263,69,61,549,752,525,0.269,0.359,0.374,0.973,Second base,0
BERNIE FRIBERG,14,1299,4169,544,1170,181,44,38,471,471,498,0.281,0.356,0.373,0.953,Third base,0
FRANKIE FRISCH,19,2311,9112,1532,2880,466,138,105,1244,728,272,0.316,0.369,0.432,0.974,Second base,1
TITO FUENTES,13,1499,5566,610,1491,211,46,45,438,298,561,0.268,0.309,0.347,0.974,Second base,0
CARL FURILLO,15,1806,6378,895,1910,324,56,192,1058,514,436,0.299,0.356,0.458,0.979,Outfield,0
PHIL GAGLIANO,12,702,1411,150,336,50,7,14,159,163,184,0.238,0.319,0.313,0.969,Second base,0
DEL GAINER,10,548,1608,218,438,75,36,14,185,149,156,0.272,0.342,0.39,0.985,First base,0
AUGIE GALAN,16,1742,5937,1004,1706,336,74,100,830,979,393,0.287,0.39,0.419,0.981,Outfield,0
CHICK GALLOWAY,10,1076,3583,391,946,136,46,17,407,274,224,0.264,0.317,0.342,0.943,Shortstop,0
OSCAR GAMBLE,17,1584,4502,656,1195,188,31,200,666,610,546,0.265,0.358,0.454,0.977,Outfield,0
JIM GANTNER,17,1801,6189,726,1696,262,38,47,568,383,501,0.274,0.322,0.351,0.985,Second base,0
CHARLIE GANZEL,14,786,2984,421,774,91,45,10,412,161,121,0.259,0.301,0.33,0.934,Catcher,0
KIKO GARCIA,10,619,1470,162,351,56,16,12,112,95,285,0.239,0.287,0.323,0.961,Shortstop,0
DAMASO GARCIA,11,1032,3914,490,1108,183,27,36,323,130,322,0.283,0.311,0.371,0.98,Second base,0
BILLY GARDNER,10,1034,3544,356,841,159,18,41,271,246,439,0.237,0.293,0.327,0.978,Second base,0
LARRY GARDNER,17,1923,6688,866,1931,301,129,27,934,654,282,0.289,0.355,0.384,0.948,Third base,0
DEBS GARMS,12,1010,3111,438,910,141,39,17,328,288,161,0.293,0.355,0.379,0.966,Outfield,0
PHIL GARNER,16,1860,6136,780,1594,299,82,109,738,564,842,0.26,0.326,0.389,0.974,Second base,0
RALPH GARR,13,1317,5108,717,1562,212,64,75,408,246,445,0.306,0.34,0.416,0.968,Outfield,0
WAYNE GARRETT,10,1092,3285,438,786,107,22,61,340,561,529,0.239,0.352,0.341,0.956,Third base,0
STEVE GARVEY,19,2332,8835,1143,2599,440,43,272,1308,479,1003,0.294,0.333,0.446,0.996,First base,0
CITO GASTON,11,1026,3120,314,799,106,30,91,387,185,693,0.256,0.3,0.397,0.97,Outfield,0
RICH GEDMAN,13,1033,3159,331,795,176,12,88,382,236,509,0.252,0.307,0.399,0.984,Catcher,0
LOU GEHRIG,17,2164,8001,1888,2721,534,163,493,1995,1508,790,0.34,0.447,0.632,0.991,First base,1
CHARLIE GEHRINGER,19,2323,8860,1774,2839,574,146,184,1427,1186,372,0.32,0.404,0.48,0.976,Second base,1
GARY GEIGER,12,954,2569,388,633,91,29,77,283,341,466,0.246,0.339,0.394,0.986,Outfield,0
WALLY GERBER,15,1522,5099,558,1309,172,46,7,476,465,357,0.257,0.323,0.313,0.943,Shortstop,0
JOE GERHARDT,12,986,3770,448,854,112,51,7,229,162,187,0.227,0.261,0.289,0.913,Second base,0
DICK GERNERT,11,835,2493,357,632,104,8,103,402,363,462,0.254,0.352,0.426,0.99,First base,0
CESAR GERONIMO,15,1522,3780,460,977,161,50,51,392,354,746,0.258,0.327,0.368,0.988,Outfield,0
PATSY GHARRITY,10,676,1961,237,513,92,26,20,249,188,231,0.262,0.331,0.366,0.974,Catcher,0
JAKE GIBBS,10,538,1639,157,382,53,8,25,146,120,231,0.233,0.291,0.321,0.986,Catcher,0
GEORGE GIBSON,14,1213,3776,295,893,142,49,15,345,286,132,0.236,0.295,0.312,0.977,Catcher,0
JIM GILLIAM,14,1956,7119,1163,1889,304,71,65,558,1036,416,0.265,0.361,0.355,0.979,Second base,0
BARNEY GILLIGAN,10,521,1865,215,386,68,23,3,167,147,235,0.207,0.265,0.273,0.912,Catcher,0
JOE GINSBERG,13,695,1716,168,414,59,8,20,182,226,135,0.241,0.334,0.32,0.983,Catcher,0
JACK GLASSCOCK,17,1736,7030,1163,2040,313,98,27,825,439,212,0.29,0.337,0.374,0.91,Shortstop,0
KID GLEASON,22,1966,7452,1020,1944,216,80,15,823,500,131,0.261,0.31,0.317,0.938,Second base,0
TONY GONZALEZ,12,1559,5195,690,1485,238,57,103,615,467,706,0.286,0.353,0.413,0.987,Outfield,0
MIKE GONZALEZ,17,1042,2829,283,717,123,19,13,263,231,198,0.253,0.314,0.324,0.98,Catcher,0
JOHNNY GOOCH,11,805,2363,227,662,98,29,7,293,206,141,0.28,0.342,0.355,0.973,Catcher,0
WILBUR GOOD,11,749,2364,324,609,84,44,9,187,190,243,0.258,0.322,0.342,0.942,Outfield,0
IVAL GOODMAN,10,1107,3928,609,1104,188,85,95,525,382,380,0.281,0.352,0.445,0.975,Outfield,0
BILLY GOODMAN,16,1623,5644,807,1691,299,44,19,591,669,329,0.3,0.377,0.378,0.972,Second base,0
JOE GORDON,11,1566,5707,914,1530,264,52,253,975,759,702,0.268,0.357,0.466,0.97,Second base,0
SID GORDON,13,1475,4992,735,1415,220,43,202,805,731,356,0.283,0.377,0.466,0.985,Outfield,0
GEORGE GORE,14,1310,5357,1327,1612,262,94,46,618,717,332,0.301,0.386,0.411,0.876,Outfield,0
JIM GOSGER,10,705,1815,197,411,67,16,30,177,217,316,0.226,0.311,0.331,0.985,Outfield,0
GOOSE GOSLIN,18,2287,8656,1483,2735,500,173,248,1609,949,585,0.316,0.387,0.5,0.96,Outfield,2
JULIO GOTAY,10,389,988,106,257,38,3,6,70,61,127,0.26,0.309,0.323,0.944,Shortstop,0
HANK GOWDY,17,1050,2735,270,738,124,27,21,322,311,247,0.27,0.351,0.358,0.975,Catcher,0
MIKE GRADY,11,918,3000,486,881,155,67,35,449,311,40,0.294,0.373,0.425,0.946,Catcher,0
ALEX GRAMMAS,10,913,2073,236,512,90,10,12,163,206,192,0.247,0.32,0.317,0.968,Shortstop,0
JACK GRANEY,14,1402,4705,706,1178,219,79,18,420,712,345,0.25,0.354,0.342,0.953,Outfield,0
EDDIE GRANT,10,990,3385,399,844,79,30,5,277,233,181,0.249,0.3,0.295,0.942,Third base,0
GEORGE GRANTHAM,13,1444,4989,912,1508,292,93,105,712,717,526,0.302,0.392,0.461,0.949,Second base,0
LENNY GREEN,12,1136,2956,461,788,138,27,47,253,368,260,0.267,0.353,0.379,0.984,Outfield,0
DICK GREEN,12,1288,4007,427,960,145,23,80,422,345,785,0.24,0.305,0.347,0.983,Second base,0
HANK GREENBERG,13,1394,5193,1051,1628,379,71,331,1276,852,844,0.313,0.412,0.605,0.991,First base,1
BOBBY GRICH,17,2008,6890,1033,1833,320,47,224,864,1087,1278,0.266,0.373,0.424,0.984,Second base,0
KEN GRIFFEY,19,2097,7229,1129,2143,364,77,152,859,719,898,0.296,0.361,0.431,0.981,Outfield,0
MIKE GRIFFIN,12,1511,5914,1405,1753,313,108,42,625,809,206,0.296,0.388,0.407,0.956,Outfield,0
TOMMY GRIFFITH,13,1401,4947,589,1383,208,72,52,619,351,262,0.28,0.328,0.382,0.956,Outfield,0
JOHN GRIM,11,706,2638,350,705,119,37,16,296,85,77,0.267,0.302,0.359,0.943,Catcher,0
CHARLIE GRIMM,20,2166,7917,908,2299,394,108,79,1078,578,410,0.29,0.341,0.397,0.993,First base,0
DICK GROAT,14,1929,7484,829,2138,352,67,39,707,490,512,0.286,0.332,0.366,0.961,Shortstop,0
HEINIE GROH,16,1676,6074,918,1774,308,87,26,566,696,345,0.292,0.373,0.384,0.967,Third base,0
GREG GROSS,17,1809,3745,449,1073,130,46,7,308,523,250,0.287,0.375,0.351,0.982,Outfield,0
WAYNE GROSS,11,1106,3125,373,727,126,9,121,396,482,496,0.233,0.339,0.395,0.941,Third base,0
JERRY GROTE,16,1421,4339,352,1092,160,22,39,404,399,600,0.252,0.318,0.326,0.991,Catcher,0
JOHNNY GROTH,15,1248,3808,480,1064,197,31,60,486,419,329,0.279,0.353,0.395,0.987,Outfield,0
JOHNNY GRUBB,16,1424,4154,553,1153,207,29,99,475,566,558,0.278,0.369,0.413,0.981,Outfield,0
PEDRO GUERRERO,15,1536,5392,730,1618,267,29,215,898,609,862,0.3,0.374,0.48,0.988,First base,0
FRANKIE GUSTINE,12,1261,4582,553,1214,222,47,38,480,369,427,0.265,0.322,0.359,0.955,Second base,0
DON GUTTERIDGE,12,1151,4202,586,1075,200,64,39,391,309,444,0.256,0.308,0.362,0.964,Second base,0
MULE HAAS,12,1168,4303,706,1257,254,45,43,496,433,299,0.292,0.359,0.402,0.984,Outfield,0
STAN HACK,16,1938,7278,1239,2193,363,81,57,642,1092,466,0.301,0.394,0.397,0.957,Third base,0
CHICK HAFEY,13,1283,4625,777,1466,341,67,164,833,372,477,0.317,0.372,0.526,0.971,Outfield,2
JERRY HAIRSTON,14,859,1699,216,438,91,6,30,205,282,240,0.258,0.366,0.371,0.963,Outfield,0
ODELL HALE,10,1062,3701,551,1071,240,51,73,573,353,315,0.289,0.352,0.441,0.959,Second base,0
SAMMY HALE,10,883,2915,422,880,157,54,30,392,130,218,0.302,0.336,0.424,0.939,Third base,0
TOM HALLER,12,1294,3935,461,1011,153,31,134,504,477,593,0.257,0.342,0.414,0.992,Catcher,0
BILL HALLMAN,14,1503,6012,937,1634,234,81,21,769,425,283,0.272,0.325,0.348,0.94,Second base,0
